ประทับเวลา,คุณเป็นเพศอะไร,คุณกำลังศึกษาอยู่ในสถาบันเจ้าคุณทหารลาดกระบังหรือไม่,กำลังศึกษาอยู่ชั้นปีการศึกษาใดในมหาวิทยาลัย,คณะที่คุณกำลังศึกษาอยู่ในขณะนี้,GPA ขณะกำลังศึกษาอยู่ปัจจุบัน ( เกรดรวม ),สายการเรียนตอนมัธยมปลาย,คุณเข้ามหาลัยด้วยวิธีแบบใด,คุณจบการศึกษาระดับมัธยมปลายปี พ.ศ.ใด,GPA ในระดับชั้นมัธยมปลาย,คะแนน O-net วิชาภาษาไทย ระดับชั้นมัธยมศึกษาปีที่ 6,คะแนน O-net วิชาคณิตศาสตร์ ระดับชั้นมัธยมศึกษาปีที่ 6,คะแนน O-net วิชาวิทยาศาสตร์ ระดับชั้นมัธยมศึกษาปีที่ 6,คะแนน O-net วิชาสังคมศึกษา ระดับชั้นมัธยมศึกษาปีที่ 6,คะแนน O-net วิชาภาษาอังกฤษ ระดับชั้นมัธยมศึกษาปีที่ 6,ความสามารถที่คุณคิดว่าตัวเองมี(ตอบได้มากกว่า 1 ข้อ),วิชาที่ถนัดในการเรียนมัธยมปลายมีอะไรบ้าง(ตอบได้มากกว่า 1 ข้อ),คุณคิดว่าคุณถนัดทักษะแบบไหนบ้าง(ตอบได้มากกว่า 1 ข้อ),คุณคิดว่าทักษะไหนเป็นปัญหากับคุณบ้าง(ตอบได้มากกว่า 1 ข้อ),คุณสนใจทางด้านไหนบ้าง (ตอบได้มากกว่า 1 ข้อ),คุณเคยเข้าร่วมกิจกรรมของโรงเรียนเมื่อคุณยังศึกษาอยู่ในระดับมัธยมหรือไม่,คุณเคยแข่งขันทางวิชาการในช่วงมัธยมหรือไม่,คุณเคยลงเข้าร่วมกิจกรรมการเเข่งขันวิชาการ กลุ่มสาระใดบ้าง,ข้อเสนอแนะ
3/8/2021 22:55:30,ชาย,กำลังศึกษา,ปี 3,วิทยาศาสตร์,3.38,โครงการห้องเรียนพิเศษ ( เช่น ห้องหลักสูตรอินเตอร์/ภาษาอังกฤษ วิทยาศาสตร์คอมพิวเตอร์),"สอบเข้าระบบ tcas , admission , รับตรง",60,3.51 - 4.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,"มีความอดทน, การวิเคราะห์, ความเป็นผู้นำ, ความมั่นใจในตัวเอง","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์","เขียน, คิดวิเคราะห์, คิดคำนวณ",พูด,"เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เข้าร่วมทุกครั้ง,เคย,"กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,, กลุ่มสาระศิลปะ เช่น เข้าร่วมชมรมนาฏศิลป์ , ประกวดวงดนตรี (folk songs)",
3/8/2021 22:56:24,ชาย,กำลังศึกษา,ปี 4,วิทยาศาสตร์,3.6,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",59,3.51 - 4.00,80.01 - 100,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,"มีความอดทน, ชอบการทดลอง, การวิเคราะห์, ทำงานเป็นกลุ่มได้ดี","ด้านคณิตศาสตร์, ด้านคอมพิวเตอร์","อ่าน, คิดคำนวณ","ฟัง, เขียน","การศึกษา, การเมือง, การบันเทิง",เข้าร่วมทุกครั้ง,เคย,"กลุ่มสาระภาษาต่างประเทศ เช่น การร่วมเเข่งขันการเเสดงภาษาอังกฤษ ,speaking",
3/9/2021 11:00:42,หญิง,กำลังศึกษา,ปี 3,วิทยาศาสตร์,2.89,โครงการห้องเรียนพิเศษ ( เช่น ห้องหลักสูตรอินเตอร์/ภาษาอังกฤษ วิทยาศาสตร์คอมพิวเตอร์),"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,20.01 - 40.00,60.01 - 80.00,"ความรอบคอบ, มีความอดทน, การวิเคราะห์","ด้านคณิตศาสตร์, ด้านศิลปะ, ด้านภาษา, ด้านงานฝีมือ, ด้านคอมพิวเตอร์","ฟัง, อ่าน, เขียน, คิดวิเคราะห์","พูด, คิดคำนวณ","การศึกษา, ศิลปะ, การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เข้าร่วมทุกครั้ง,เคย,"กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว, กลุ่มสาระภาษาต่างประเทศ เช่น การร่วมเเข่งขันการเเสดงภาษาอังกฤษ ,speaking, กลุ่มสาระการงานอาชีพเเละเทคโนโลยี. เช่น การประกวดสร้างหน้าเว็บเเอพลิเคชั่น",ข้อที่ถามว่า “เคยเข้าร่วมกิจกรรมของโรงเรียนหรือไม่”  ตัวเลือกน่าจะเป็น ‘เข้าร่วม’ กับ ‘ไม่เคยเข้าร่วม’ 
3/9/2021 22:40:39,หญิง,กำลังศึกษา,ปี 3,วิทยาศาสตร์,2.8,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.51 - 4.00,60.01 - 80.00,40.01 - 60.00,20.01 - 40.00,20.01 - 40.00,20.01 - 40.00,"มีความอดทน, สร้างสรรค์สิ่งใหม่, การวิเคราะห์, ทำงานเป็นกลุ่มได้ดี","ด้านงานฝีมือ, ด้านคอมพิวเตอร์","ฟัง, อ่าน, เขียน, คิดวิเคราะห์","พูด, คิดวิเคราะห์, คิดคำนวณ","การศึกษา, ศิลปะ, การเมือง, การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เข้าร่วมทุกครั้ง,เคย,"กลุ่มสาระภาษาต่างประเทศ เช่น การร่วมเเข่งขันการเเสดงภาษาอังกฤษ ,speaking",
3/15/2021 9:41:13,หญิง,กำลังศึกษา,ปี 3,วิทยาศาสตร์,2.67,ศิลป์-คำนวณ,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,40.01 - 60.00,0 - 20.00,20.01 - 40.00,20.01 - 40.00,20.01 - 40.00,"ชอบการทดลอง, ทำงานเป็นกลุ่มได้ดี","ด้านคณิตศาสตร์, ด้านคอมพิวเตอร์",คิดคำนวณ,ฟัง,"การเมือง, การบันเทิง, เทคโนโลยี, สุขภาพ",เข้าร่วมทุกครั้ง,ไม่เคย,กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว,
3/16/2021 17:01:05,ชาย,กำลังศึกษา,ปี 3,วิทยาศาสตร์,3.01,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,"ความรอบคอบ, สร้างสรรค์สิ่งใหม่, ทำงานเป็นกลุ่มได้ดี, ตรงต่อเวลา, บริหารเวลาได้ดี","ด้านคณิตศาสตร์, ด้านศิลปะ, ด้านคอมพิวเตอร์","ฟัง, เขียน, คิดวิเคราะห์, คิดคำนวณ",พูด,"ศิลปะ, การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม",ไม่เคยเข้าร่วมเลย,ไม่เคย,ไม่เคยเข้าร่วม,
3/16/2021 17:11:57,หญิง,กำลังศึกษา,ปี 3,วิทยาศาสตร์,2.7,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,2.01 - 2.50,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,60.01 - 80.00,40.01 - 60.00,"มีความอดทน, ชอบการทดลอง, สร้างสรรค์สิ่งใหม่, ความมั่นใจในตัวเอง","ด้านคณิตศาสตร์, ด้านศิลปะ, ด้านกีฬา, ด้านงานฝีมือ, ด้านคอมพิวเตอร์","ฟัง, พูด, อ่าน, เขียน","คิดวิเคราะห์, คิดคำนวณ","การศึกษา, ศิลปะ, การเมือง, การบันเทิง, สุขภาพ",เข้าร่วมทุกครั้ง,ไม่เคย,"กลุ่มสาระสุขศึกษา  เช่น  การร่วมแข่งขันบาสเกตบอล ,ฟุตบอล ,วอลเลย์บอล ,แบดมินตัน, กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,, กลุ่มสาระศิลปะ เช่น เข้าร่วมชมรมนาฏศิลป์ , ประกวดวงดนตรี (folk songs)",แพนสวยและน่าตาดีที่สุดในวิทย์คอม😘
3/17/2021 10:17:12,หญิง,กำลังศึกษา,ปี 3,วิทยาลัยการบริหารและจัดการ,3.43,ศิลป์-คำนวณ,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.51 - 4.00,40.01 - 60.00,20.01 - 40.00,20.01 - 40.00,20.01 - 40.00,40.01 - 60.00,"ความรอบคอบ, มีความอดทน, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด","ด้านวิทยาศาสตร์, ด้านศิลปะ, ด้านกีฬา","ฟัง, อ่าน","พูด, เขียน","การเมือง, เทคโนโลยี",เข้าร่วมทุกครั้ง,ไม่เคย,"กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว, กลุ่มสาระสุขศึกษา  เช่น  การร่วมแข่งขันบาสเกตบอล ,ฟุตบอล ,วอลเลย์บอล ,แบดมินตัน, กลุ่มสาระสังคมศึกษา เช่น โครงการมารยาทไทย , เศรษฐศาสตร์เพชรยอดมงกุฎ, กลุ่มสาระการงานอาชีพเเละเทคโนโลยี. เช่น การประกวดสร้างหน้าเว็บเเอพลิเคชั่น",
3/17/2021 11:22:40,หญิง,กำลังศึกษา,ปี 3,วิทยาลัยการบริหารและจัดการ,2.92,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.51 - 4.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,60.01 - 80.00,40.01 - 60.00,"มีความอดทน, ความมั่นใจในตัวเอง, ทำงานเป็นกลุ่มได้ดี, ตรงต่อเวลา, บริหารเวลาได้ดี","ด้านภาษา, ด้านสังคม","ฟัง, พูด, อ่าน, เขียน",คิดคำนวณ,"ศิลปะ, การเมือง, การบันเทิง, สิ่งแวดล้อม",ไม่เคยเข้าร่วมเลย,เคย,"กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,",
3/17/2021 22:23:29,ชาย,กำลังศึกษา,ปี 3,วิทยาศาสตร์,2.54,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.51 - 4.00,60.01 - 80.00,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,"ความรอบคอบ, สร้างสรรค์สิ่งใหม่, การวิเคราะห์, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด, หมั่นฝึกฝน","ด้านสังคม, ด้านคอมพิวเตอร์","ฟัง, อ่าน, เขียน","พูด, คิดวิเคราะห์, คิดคำนวณ","การเมือง, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เข้าร่วมทุกครั้ง,เคย,"กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,, กลุ่มสาระการงานอาชีพเเละเทคโนโลยี. เช่น การประกวดสร้างหน้าเว็บเเอพลิเคชั่น",
3/17/2021 22:37:10,ชาย,กำลังศึกษา,ปี 3,วิทยาศาสตร์,60,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.51 - 4.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,"ความรอบคอบ, มีความอดทน, สร้างสรรค์สิ่งใหม่, การวิเคราะห์, ความเป็นผู้นำ, ความมั่นใจในตัวเอง, ทำงานเป็นกลุ่มได้ดี, บริหารเวลาได้ดี","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านศิลปะ, ด้านภาษา, ด้านงานฝีมือ","พูด, อ่าน, คิดวิเคราะห์, คิดคำนวณ",เขียน,"การศึกษา, การบันเทิง, เทคโนโลยี, สุขภาพ",เข้าร่วมทุกครั้ง,เคย,"กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว, กลุ่มสาระสังคมศึกษา เช่น โครงการมารยาทไทย , เศรษฐศาสตร์เพชรยอดมงกุฎ",
3/17/2021 22:39:29,ชาย,กำลังศึกษา,ปี 4,วิทยาศาสตร์,3.47,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",59,3.01 - 3.50,60.01 - 80.00,80.01 - 100,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,"ชอบการทดลอง, การวิเคราะห์, ความเป็นผู้นำ, ความมั่นใจในตัวเอง, ติดตามข่าวสารใหม่ๆตลอด, บริหารเวลาได้ดี","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านคอมพิวเตอร์","ฟัง, พูด, คิดคำนวณ",เขียน,"ศิลปะ, เทคโนโลยี, สุขภาพ",ไม่เคยเข้าร่วมเลย,เคย,กลุ่มสาระการงานอาชีพเเละเทคโนโลยี. เช่น การประกวดสร้างหน้าเว็บเเอพลิเคชั่น,
3/17/2021 22:40:37,หญิง,กำลังศึกษา,ปี 3,วิทยาศาสตร์,2,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,2.51 - 3.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,"ชอบการทดลอง, ความมั่นใจในตัวเอง, ติดตามข่าวสารใหม่ๆตลอด, ตรงต่อเวลา",ด้านภาษา,ฟัง,"พูด, อ่าน","ศิลปะ, การบันเทิง, สิ่งแวดล้อม, สุขภาพ",ไม่เคยเข้าร่วมเลย,ไม่เคย,ไม่เคยเข้าร่วม,
3/17/2021 22:42:12,ชาย,กำลังศึกษา,ปี 3,เทคโนโลยีสารสนเทศ,2.85,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,40.01 - 60.00,60.01 - 80.00,20.01 - 40.00,40.01 - 60.00,20.01 - 40.00,"มีความอดทน, ชอบการทดลอง, สร้างสรรค์สิ่งใหม่, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด","ด้านคณิตศาสตร์, ด้านคอมพิวเตอร์","คิดวิเคราะห์, คิดคำนวณ",ฟัง,"ศิลปะ, การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เข้าร่วมทุกครั้ง,เคย,"กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว, กลุ่มสาระการงานอาชีพเเละเทคโนโลยี. เช่น การประกวดสร้างหน้าเว็บเเอพลิเคชั่น",
3/17/2021 22:44:35,ชาย,กำลังศึกษา,ปี 3,วิทยาลัยการบริหารและจัดการ,3.2,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.51 - 4.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,60.01 - 80.00,20.01 - 40.00,"ความรอบคอบ, ความเป็นผู้นำ, ทำงานเป็นกลุ่มได้ดี, ตรงต่อเวลา, บริหารเวลาได้ดี","ด้านวิทยาศาสตร์, ด้านศิลปะ, ด้านสังคม","ฟัง, อ่าน, คิดวิเคราะห์","พูด, เขียน, คิดคำนวณ","ศิลปะ, การเมือง, การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม",ไม่เคยเข้าร่วมเลย,เคย,"กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว, กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,",-
3/17/2021 22:45:30,หญิง,กำลังศึกษา,ปี 3,วิทยาศาสตร์,2.45,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.51 - 4.00,60.01 - 80.00,40.01 - 60.00,60.01 - 80.00,80.01 - 100,40.01 - 60.00,"มีความอดทน, ชอบการทดลอง, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด","ด้านวิทยาศาสตร์, ด้านภาษา, ด้านคอมพิวเตอร์","พูด, อ่าน, เขียน","คิดวิเคราะห์, คิดคำนวณ","การศึกษา, การเมือง, การบันเทิง, เทคโนโลยี",เข้าร่วมทุกครั้ง,เคย,"กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,",
